type,start_time,ambient_temperature,battery_id,test_id,uid,filename,Capacity,Re,Rct,group,end_reason,analysis_role,cap_flag,discharge_cycle_no,init_cap,SOH,eol_cycle,RUL
discharge,2010-06-16 10:39:50,4,B0041,0,2996,02996.csv,0.055620243768194,,,F,QA_issue,anomaly,low_anomaly,1,1.1194574527298191,,59.0,58.0
discharge,2010-06-16 14:46:51,4,B0041,3,2999,02999.csv,0.0556974726122768,,,F,QA_issue,anomaly,low_anomaly,2,1.1194574527298191,,59.0,57.0
discharge,2010-06-16 18:07:22,4,B0041,5,3001,03001.csv,0.0558390162918539,,,F,QA_issue,anomaly,low_anomaly,3,1.1194574527298191,,59.0,56.0
discharge,2010-06-16 21:27:32,4,B0041,7,3003,03003.csv,0.056148059974053,,,F,QA_issue,anomaly,low_anomaly,4,1.1194574527298191,,59.0,55.0
discharge,2010-06-17 00:47:36,4,B0041,9,3005,03005.csv,0.056470531599139,,,F,QA_issue,anomaly,low_anomaly,5,1.1194574527298191,,59.0,54.0
discharge,2010-06-17 03:38:47,4,B0041,11,3007,03007.csv,0.0440922918408019,,,F,QA_issue,anomaly,low_anomaly,6,1.1194574527298191,,59.0,53.0
discharge,2010-06-17 08:10:30,4,B0041,15,3011,03011.csv,0.0567719130814178,,,F,QA_issue,anomaly,low_anomaly,7,1.1194574527298191,,59.0,52.0
discharge,2010-06-17 11:30:34,4,B0041,17,3013,03013.csv,0.0569383765007572,,,F,QA_issue,anomaly,low_anomaly,8,1.1194574527298191,,59.0,51.0
discharge,2010-06-17 14:50:30,4,B0041,19,3015,03015.csv,0.0444014841131225,,,F,QA_issue,anomaly,low_anomaly,9,1.1194574527298191,,59.0,50.0
discharge,2010-06-17 18:10:06,4,B0041,21,3017,03017.csv,0.0446343581849161,,,F,QA_issue,anomaly,low_anomaly,10,1.1194574527298191,,59.0,49.0
discharge,2010-06-17 21:29:54,4,B0041,23,3019,03019.csv,0.0447987224365748,,,F,QA_issue,anomaly,low_anomaly,11,1.1194574527298191,,59.0,48.0
discharge,2010-06-18 02:01:11,4,B0041,27,3023,03023.csv,0.0467089878078547,,,F,QA_issue,anomaly,low_anomaly,12,1.1194574527298191,,59.0,47.0
discharge,2010-06-18 05:20:59,4,B0041,29,3025,03025.csv,0.0449537153308952,,,F,QA_issue,anomaly,low_anomaly,13,1.1194574527298191,,59.0,46.0
discharge,2010-06-18 08:40:33,4,B0041,31,3027,03027.csv,0.0452193290195426,,,F,QA_issue,anomaly,low_anomaly,14,1.1194574527298191,,59.0,45.0
discharge,2010-06-18 12:00:02,4,B0041,33,3029,03029.csv,0.0454022241469497,,,F,QA_issue,anomaly,low_anomaly,15,1.1194574527298191,,59.0,44.0
discharge,2010-06-18 15:19:35,4,B0041,35,3031,03031.csv,0.0456790122497417,,,F,QA_issue,anomaly,low_anomaly,16,1.1194574527298191,,59.0,43.0
discharge,2010-06-18 19:50:33,4,B0041,39,3035,03035.csv,0.0455208025703398,,,F,QA_issue,anomaly,low_anomaly,17,1.1194574527298191,,59.0,42.0
discharge,2010-06-18 23:09:59,4,B0041,41,3037,03037.csv,0.0457285414602425,,,F,QA_issue,anomaly,low_anomaly,18,1.1194574527298191,,59.0,41.0
discharge,2010-06-19 02:29:16,4,B0041,43,3039,03039.csv,0.045860512192502,,,F,QA_issue,anomaly,low_anomaly,19,1.1194574527298191,,59.0,40.0
discharge,2010-06-19 05:42:11,4,B0041,45,3041,03041.csv,0.045983556030275,,,F,QA_issue,anomaly,low_anomaly,20,1.1194574527298191,,59.0,39.0
discharge,2010-06-19 08:49:37,4,B0041,47,3043,03043.csv,0.046128762966734,,,F,QA_issue,anomaly,low_anomaly,21,1.1194574527298191,,59.0,38.0
discharge,2010-06-21 15:19:37,4,B0041,51,3047,03047.csv,0.0463714545530443,,,F,QA_issue,anomaly,low_anomaly,22,1.1194574527298191,,59.0,37.0
discharge,2010-06-21 19:51:35,4,B0041,55,3051,03051.csv,0.0464238542531432,,,F,QA_issue,anomaly,low_anomaly,23,1.1194574527298191,,59.0,36.0
discharge,2010-06-21 23:11:45,4,B0041,57,3053,03053.csv,0.0465794695305646,,,F,QA_issue,anomaly,low_anomaly,24,1.1194574527298191,,59.0,35.0
discharge,2010-06-22 02:31:35,4,B0041,59,3055,03055.csv,0.0467260089483965,,,F,QA_issue,anomaly,low_anomaly,25,1.1194574527298191,,59.0,34.0
discharge,2010-06-22 05:44:45,4,B0041,61,3057,03057.csv,0.0468634724324437,,,F,QA_issue,anomaly,low_anomaly,26,1.1194574527298191,,59.0,33.0
