type,start_time,ambient_temperature,battery_id,test_id,uid,filename,Capacity,Re,Rct,group,end_reason,analysis_role,cap_flag,discharge_cycle_no,init_cap,SOH,eol_cycle,RUL
discharge,2008-04-02 15:25:41,24,B0005,1,5122,05122.csv,1.8564874208181572,,,A,EOL,main,valid,1,1.835349194223408,101.15,107.0,106.0
discharge,2008-04-02 19:43:48,24,B0005,3,5124,05124.csv,1.846327249719927,,,A,EOL,main,valid,2,1.835349194223408,100.6,107.0,105.0
discharge,2008-04-03 00:01:06,24,B0005,5,5126,05126.csv,1.835349194223408,,,A,EOL,main,valid,3,1.835349194223408,100.0,107.0,104.0
discharge,2008-04-03 04:16:37,24,B0005,7,5128,05128.csv,1.8352625275821128,,,A,EOL,main,valid,4,1.835349194223408,100.0,107.0,103.0
discharge,2008-04-03 08:33:25,24,B0005,9,5130,05130.csv,1.8346455082120416,,,A,EOL,main,valid,5,1.835349194223408,99.96,107.0,102.0
discharge,2008-04-03 12:55:10,24,B0005,11,5132,05132.csv,1.8356616600675493,,,A,EOL,main,valid,6,1.835349194223408,100.02,107.0,101.0
discharge,2008-04-03 17:17:16,24,B0005,13,5134,05134.csv,1.8351461429226603,,,A,EOL,main,valid,7,1.835349194223408,99.99,107.0,100.0
discharge,2008-04-03 21:28:14,24,B0005,15,5136,05136.csv,1.8257567905665535,,,A,EOL,main,valid,8,1.835349194223408,99.48,107.0,99.0
discharge,2008-04-04 01:38:15,24,B0005,17,5138,05138.csv,1.8247738529891333,,,A,EOL,main,valid,9,1.835349194223408,99.42,107.0,98.0
discharge,2008-04-04 05:48:08,24,B0005,19,5140,05140.csv,1.824613268496936,,,A,EOL,main,valid,10,1.835349194223408,99.42,107.0,97.0
discharge,2008-04-04 09:57:19,24,B0005,21,5142,05142.csv,1.8246195526864504,,,A,EOL,main,valid,11,1.835349194223408,99.42,107.0,96.0
discharge,2008-04-04 17:56:27,24,B0005,24,5145,05145.csv,1.814201935767392,,,A,EOL,main,valid,12,1.835349194223408,98.85,107.0,95.0
discharge,2008-04-04 22:01:54,24,B0005,26,5147,05147.csv,1.8137521577549052,,,A,EOL,main,valid,13,1.835349194223408,98.82,107.0,94.0
discharge,2008-04-05 02:20:26,24,B0005,28,5149,05149.csv,1.8134404914735824,,,A,EOL,main,valid,14,1.835349194223408,98.81,107.0,93.0
discharge,2008-04-05 06:25:01,24,B0005,30,5151,05151.csv,1.8025980036306504,,,A,EOL,main,valid,15,1.835349194223408,98.22,107.0,92.0
discharge,2008-04-05 10:30:32,24,B0005,32,5153,05153.csv,1.80210690024615,,,A,EOL,main,valid,16,1.835349194223408,98.19,107.0,91.0
discharge,2008-04-05 14:34:41,24,B0005,34,5155,05155.csv,1.802579500826209,,,A,EOL,main,valid,17,1.835349194223408,98.21,107.0,90.0
discharge,2008-04-05 18:39:25,24,B0005,36,5157,05157.csv,1.8030683142834096,,,A,EOL,main,valid,18,1.835349194223408,98.24,107.0,89.0
discharge,2008-04-05 22:46:35,24,B0005,38,5159,05159.csv,1.802777624719604,,,A,EOL,main,valid,19,1.835349194223408,98.23,107.0,88.0
discharge,2008-04-18 21:10:19,24,B0005,41,5162,05162.csv,1.8470259949329195,,,A,EOL,main,valid,20,1.835349194223408,100.64,107.0,87.0
discharge,2008-04-19 02:29:09,24,B0005,45,5166,05166.csv,1.847417311283644,,,A,EOL,main,valid,21,1.835349194223408,100.66,107.0,86.0
discharge,2008-04-19 07:47:15,24,B0005,49,5170,05170.csv,1.8361774213478947,,,A,EOL,main,valid,22,1.835349194223408,100.05,107.0,85.0
discharge,2008-04-19 13:01:42,24,B0005,53,5174,05174.csv,1.825780747577624,,,A,EOL,main,valid,23,1.835349194223408,99.48,107.0,84.0
discharge,2008-04-19 18:27:29,24,B0005,57,5178,05178.csv,1.8251136435078368,,,A,EOL,main,valid,24,1.835349194223408,99.44,107.0,83.0
discharge,2008-04-19 23:41:55,24,B0005,61,5182,05182.csv,1.825581504220376,,,A,EOL,main,valid,25,1.835349194223408,99.47,107.0,82.0
discharge,2008-04-20 04:54:41,24,B0005,65,5186,05186.csv,1.814031127508391,,,A,EOL,main,valid,26,1.835349194223408,98.84,107.0,81.0
discharge,2008-04-20 10:16:28,24,B0005,69,5190,05190.csv,1.8147691941158937,,,A,EOL,main,valid,27,1.835349194223408,98.88,107.0,80.0
discharge,2008-04-20 15:37:05,24,B0005,73,5194,05194.csv,1.813969388710352,,,A,EOL,main,valid,28,1.835349194223408,98.84,107.0,79.0
discharge,2008-04-20 20:50:38,24,B0005,77,5198,05198.csv,1.802765665167823,,,A,EOL,main,valid,29,1.835349194223408,98.22,107.0,78.0
discharge,2008-04-21 02:15:02,24,B0005,81,5202,05202.csv,1.804077040117352,,,A,EOL,main,valid,30,1.835349194223408,98.3,107.0,77.0
discharge,2008-04-22 15:33:49,24,B0005,85,5206,05206.csv,1.8518025516704488,,,A,EOL,main,valid,31,1.835349194223408,100.9,107.0,76.0
discharge,2008-04-22 20:26:18,24,B0005,89,5210,05210.csv,1.8307038456739428,,,A,EOL,main,valid,32,1.835349194223408,99.75,107.0,75.0
discharge,2008-04-23 01:18:11,24,B0005,93,5214,05214.csv,1.8199041089501269,,,A,EOL,main,valid,33,1.835349194223408,99.16,107.0,74.0
discharge,2008-04-23 06:18:19,24,B0005,97,5218,05218.csv,1.809307963702852,,,A,EOL,main,valid,34,1.835349194223408,98.58,107.0,73.0
discharge,2008-04-23 11:08:00,24,B0005,101,5222,05222.csv,1.80460990458052,,,A,EOL,main,valid,35,1.835349194223408,98.33,107.0,72.0
discharge,2008-04-23 16:06:25,24,B0005,105,5226,05226.csv,1.7993770651972192,,,A,EOL,main,valid,36,1.835349194223408,98.04,107.0,71.0
discharge,2008-04-23 21:02:58,24,B0005,109,5230,05230.csv,1.7884432335370462,,,A,EOL,main,valid,37,1.835349194223408,97.44,107.0,70.0
discharge,2008-04-24 01:51:33,24,B0005,113,5234,05234.csv,1.7829230484252725,,,A,EOL,main,valid,38,1.835349194223408,97.14,107.0,69.0
discharge,2008-04-24 06:50:00,24,B0005,117,5238,05238.csv,1.7730337158018288,,,A,EOL,main,valid,39,1.835349194223408,96.6,107.0,68.0
discharge,2008-04-24 11:49:24,24,B0005,121,5242,05242.csv,1.773037755078937,,,A,EOL,main,valid,40,1.835349194223408,96.6,107.0,67.0
discharge,2008-04-24 16:45:56,24,B0005,125,5246,05246.csv,1.7678721106662054,,,A,EOL,main,valid,41,1.835349194223408,96.32,107.0,66.0
discharge,2008-04-24 21:38:11,24,B0005,129,5250,05250.csv,1.762315070409309,,,A,EOL,main,valid,42,1.835349194223408,96.02,107.0,65.0
discharge,2008-04-25 12:03:44,24,B0005,133,5254,05254.csv,1.7676172924938447,,,A,EOL,main,valid,43,1.835349194223408,96.31,107.0,64.0
discharge,2008-04-25 20:03:55,24,B0005,135,5256,05256.csv,1.762668359743147,,,A,EOL,main,valid,44,1.835349194223408,96.04,107.0,63.0
discharge,2008-04-26 01:04:35,24,B0005,139,5260,05260.csv,1.7517304870664143,,,A,EOL,main,valid,45,1.835349194223408,95.44,107.0,62.0
discharge,2008-04-26 05:57:35,24,B0005,143,5264,05264.csv,1.7418496047960008,,,A,EOL,main,valid,46,1.835349194223408,94.91,107.0,61.0
discharge,2008-04-26 10:58:25,24,B0005,147,5268,05268.csv,1.7360913511847138,,,A,EOL,main,valid,47,1.835349194223408,94.59,107.0,60.0
discharge,2008-04-29 12:15:56,24,B0005,149,5270,05270.csv,1.7936240148573608,,,A,EOL,main,valid,48,1.835349194223408,97.73,107.0,59.0
discharge,2008-04-29 17:05:27,24,B0005,153,5274,05274.csv,1.7831890223273277,,,A,EOL,main,valid,49,1.835349194223408,97.16,107.0,58.0
discharge,2008-04-29 22:00:04,24,B0005,157,5278,05278.csv,1.7673642076278957,,,A,EOL,main,valid,50,1.835349194223408,96.3,107.0,57.0
discharge,2008-04-30 02:43:55,24,B0005,161,5282,05282.csv,1.7570177850353066,,,A,EOL,main,valid,51,1.835349194223408,95.73,107.0,56.0
discharge,2008-04-30 07:41:42,24,B0005,165,5286,05286.csv,1.7468706179837907,,,A,EOL,main,valid,52,1.835349194223408,95.18,107.0,55.0
discharge,2008-04-30 12:28:49,24,B0005,169,5290,05290.csv,1.7417172507457144,,,A,EOL,main,valid,53,1.835349194223408,94.9,107.0,54.0
discharge,2008-04-30 17:20:16,24,B0005,173,5294,05294.csv,1.7364225056478186,,,A,EOL,main,valid,54,1.835349194223408,94.61,107.0,53.0
discharge,2008-04-30 22:14:54,24,B0005,177,5298,05298.csv,1.7263217239235826,,,A,EOL,main,valid,55,1.835349194223408,94.06,107.0,52.0
discharge,2008-05-01 03:15:33,24,B0005,181,5302,05302.csv,1.7158065389330133,,,A,EOL,main,valid,56,1.835349194223408,93.49,107.0,51.0
discharge,2008-05-01 08:16:03,24,B0005,185,5306,05306.csv,1.710533351135192,,,A,EOL,main,valid,57,1.835349194223408,93.2,107.0,50.0
discharge,2008-05-01 13:14:24,24,B0005,189,5310,05310.csv,1.706014499648521,,,A,EOL,main,valid,58,1.835349194223408,92.95,107.0,49.0
discharge,2008-05-01 18:11:10,24,B0005,193,5314,05314.csv,1.7003110272642588,,,A,EOL,main,valid,59,1.835349194223408,92.64,107.0,48.0
