type,start_time,ambient_temperature,battery_id,test_id,uid,filename,Capacity,Re,Rct,group,end_reason,analysis_role,cap_flag,discharge_cycle_no,init_cap,SOH,eol_cycle,RUL
discharge,2009-04-07 16:31:01,43,B0029,1,1354,01354.csv,1.697507332205763,,,C,censored,comparison,valid,1,1.815750429913437,93.49,,
discharge,2009-04-07 19:44:26,43,B0029,3,1356,01356.csv,1.844701206961174,,,C,censored,comparison,valid,2,1.815750429913437,101.59,,
discharge,2009-04-07 22:58:18,43,B0029,5,1358,01358.csv,1.8254376674722927,,,C,censored,comparison,valid,3,1.815750429913437,100.53,,
discharge,2009-04-08 02:11:30,43,B0029,7,1360,01360.csv,1.815750429913437,,,C,censored,comparison,valid,4,1.815750429913437,100.0,,
discharge,2009-04-08 05:23:26,43,B0029,9,1362,01362.csv,1.8132993337127028,,,C,censored,comparison,valid,5,1.815750429913437,99.87,,
discharge,2009-04-09 10:24:58,43,B0029,13,1366,01366.csv,1.8151647619660576,,,C,censored,comparison,valid,6,1.815750429913437,99.97,,
discharge,2009-04-09 13:33:59,43,B0029,15,1368,01368.csv,1.8143317955190057,,,C,censored,comparison,valid,7,1.815750429913437,99.92,,
discharge,2009-04-09 16:42:43,43,B0029,17,1370,01370.csv,1.801343601809866,,,C,censored,comparison,valid,8,1.815750429913437,99.21,,
discharge,2009-04-09 19:50:50,43,B0029,19,1372,01372.csv,1.7881558802945825,,,C,censored,comparison,valid,9,1.815750429913437,98.48,,
discharge,2009-04-09 22:58:17,43,B0029,21,1374,01374.csv,1.7760714604539518,,,C,censored,comparison,valid,10,1.815750429913437,97.81,,
discharge,2009-04-10 12:49:04,43,B0029,25,1378,01378.csv,1.7852807447597443,,,C,censored,comparison,valid,11,1.815750429913437,98.32,,
discharge,2009-04-10 15:54:20,43,B0029,27,1380,01380.csv,1.7698116401111978,,,C,censored,comparison,valid,12,1.815750429913437,97.47,,
discharge,2009-04-10 18:59:06,43,B0029,29,1382,01382.csv,1.7565231680521758,,,C,censored,comparison,valid,13,1.815750429913437,96.74,,
discharge,2009-04-10 22:03:26,43,B0029,31,1384,01384.csv,1.7543413277348154,,,C,censored,comparison,valid,14,1.815750429913437,96.62,,
discharge,2009-04-11 01:08:27,43,B0029,33,1386,01386.csv,1.7392875506998715,,,C,censored,comparison,valid,15,1.815750429913437,95.79,,
discharge,2009-04-13 09:51:27,43,B0029,37,1390,01390.csv,1.7797845109331345,,,C,censored,comparison,valid,16,1.815750429913437,98.02,,
discharge,2009-04-13 12:55:24,43,B0029,39,1392,01392.csv,1.7657088508465202,,,C,censored,comparison,valid,17,1.815750429913437,97.24,,
discharge,2009-04-13 15:59:56,43,B0029,41,1394,01394.csv,1.7523941408724169,,,C,censored,comparison,valid,18,1.815750429913437,96.51,,
discharge,2009-04-13 19:04:39,43,B0029,43,1396,01396.csv,1.7380191225603103,,,C,censored,comparison,valid,19,1.815750429913437,95.72,,
discharge,2009-04-13 22:09:45,43,B0029,45,1398,01398.csv,1.7312214443143976,,,C,censored,comparison,valid,20,1.815750429913437,95.34,,
