type,start_time,ambient_temperature,battery_id,test_id,uid,filename,Capacity,Re,Rct,elapsed_hours_from_first,hours_from_prev_operation,group,end_reason,analysis_role,test_temperature_profile,load_profile,eol_rule_source,cutoff_voltage,discharge_current,eol_fade_threshold,cap_flag,cap_exclude,cap_anomaly,discharge_cycle_raw,is_hard_excluded,discharge_cycle_valid,init_cap,SOH_nominal,SOH_relative,eol_soh_threshold,eol_cycle,RUL,rul_label_type
discharge,2009-06-19 17:18:16,24,B0033,0,2413,02413.csv,0.0684257224060181,,,0.0,0.0,D,QA_issue,excluded,24°C_stable,2A_4A_mixed,NASA_20%fade,2.0,4A_CC,0.2,low_anomaly,False,True,1,False,1.0,1.2529393053824995,,,80.0,2.0,1.0,unsupported_for_rul
discharge,2009-06-19 22:02:50,24,B0033,4,2417,02417.csv,0.6895699007862814,,,4.7427777777777775,0.5286111111111111,D,QA_issue,excluded,24°C_stable,2A_4A_mixed,NASA_20%fade,2.0,4A_CC,0.2,valid,False,False,2,False,2.0,1.2529393053824995,34.48,55.04,80.0,2.0,0.0,unsupported_for_rul
discharge,2009-06-20 01:59:39,24,B0033,6,2419,02419.csv,1.1610848192311252,,,8.689722222222223,3.0191666666666666,D,QA_issue,excluded,24°C_stable,2A_4A_mixed,NASA_20%fade,2.0,4A_CC,0.2,valid,False,False,3,False,3.0,1.2529393053824995,58.05,92.67,80.0,2.0,0.0,unsupported_for_rul
discharge,2009-06-20 05:55:38,24,B0033,8,2421,02421.csv,1.2529393053824995,,,12.622777777777777,3.0036111111111112,D,QA_issue,excluded,24°C_stable,2A_4A_mixed,NASA_20%fade,2.0,4A_CC,0.2,valid,False,False,4,False,4.0,1.2529393053824995,62.65,100.0,80.0,2.0,0.0,unsupported_for_rul
discharge,2009-06-20 09:50:35,24,B0033,10,2423,02423.csv,1.302918002447558,,,16.538611111111113,2.986666666666667,D,QA_issue,excluded,24°C_stable,2A_4A_mixed,NASA_20%fade,2.0,4A_CC,0.2,valid,False,False,5,False,5.0,1.2529393053824995,65.15,103.99,80.0,2.0,0.0,unsupported_for_rul
discharge,2009-06-20 13:47:19,24,B0033,12,2425,02425.csv,1.3218773211472523,,,20.484166666666667,3.019722222222222,D,QA_issue,excluded,24°C_stable,2A_4A_mixed,NASA_20%fade,2.0,4A_CC,0.2,valid,False,False,6,False,6.0,1.2529393053824995,66.09,105.5,80.0,2.0,0.0,unsupported_for_rul
discharge,2009-06-20 18:55:22,24,B0033,16,2429,02429.csv,1.2884694418301417,,,25.618333333333332,0.5288888888888889,D,QA_issue,excluded,24°C_stable,2A_4A_mixed,NASA_20%fade,2.0,4A_CC,0.2,valid,False,False,7,False,7.0,1.2529393053824995,64.42,102.84,80.0,2.0,0.0,unsupported_for_rul
discharge,2009-06-20 22:51:49,24,B0033,18,2431,02431.csv,1.713169326386719,,,29.559166666666666,3.02,D,QA_issue,excluded,24°C_stable,2A_4A_mixed,NASA_20%fade,2.0,4A_CC,0.2,valid,False,False,8,False,8.0,1.2529393053824995,85.66,136.73,80.0,2.0,0.0,unsupported_for_rul
discharge,2009-06-21 02:48:20,24,B0033,20,2433,02433.csv,1.6560966776720512,,,33.50111111111111,3.0205555555555557,D,QA_issue,excluded,24°C_stable,2A_4A_mixed,NASA_20%fade,2.0,4A_CC,0.2,valid,False,False,9,False,9.0,1.2529393053824995,82.8,132.18,80.0,2.0,0.0,unsupported_for_rul
discharge,2009-06-21 06:44:49,24,B0033,22,2435,02435.csv,1.6197297341990775,,,37.4425,3.02,D,QA_issue,excluded,24°C_stable,2A_4A_mixed,NASA_20%fade,2.0,4A_CC,0.2,valid,False,False,10,False,10.0,1.2529393053824995,80.99,129.27,80.0,2.0,0.0,unsupported_for_rul
discharge,2009-06-21 10:41:15,24,B0033,24,2437,02437.csv,1.604655812282729,,,41.38305555555556,3.0205555555555557,D,QA_issue,excluded,24°C_stable,2A_4A_mixed,NASA_20%fade,2.0,4A_CC,0.2,valid,False,False,11,False,11.0,1.2529393053824995,80.23,128.07,80.0,2.0,0.0,unsupported_for_rul
discharge,2009-06-21 15:49:05,24,B0033,28,2441,02441.csv,1.6255699769029337,,,46.51361111111111,0.5288888888888889,D,QA_issue,excluded,24°C_stable,2A_4A_mixed,NASA_20%fade,2.0,4A_CC,0.2,valid,False,False,12,False,12.0,1.2529393053824995,81.28,129.74,80.0,2.0,0.0,unsupported_for_rul
discharge,2009-06-21 19:45:24,24,B0033,30,2443,02443.csv,1.5900967306245992,,,50.452222222222225,3.02,D,QA_issue,excluded,24°C_stable,2A_4A_mixed,NASA_20%fade,2.0,4A_CC,0.2,valid,False,False,13,False,13.0,1.2529393053824995,79.5,126.91,80.0,2.0,0.0,unsupported_for_rul
discharge,2009-06-21 23:41:43,24,B0033,32,2445,02445.csv,1.5739402299623984,,,54.39083333333333,3.0208333333333335,D,QA_issue,excluded,24°C_stable,2A_4A_mixed,NASA_20%fade,2.0,4A_CC,0.2,valid,False,False,14,False,14.0,1.2529393053824995,78.7,125.62,80.0,2.0,0.0,unsupported_for_rul
discharge,2009-06-22 03:37:57,24,B0033,34,2447,02447.csv,1.5711303351557309,,,58.32805555555556,3.0208333333333335,D,QA_issue,excluded,24°C_stable,2A_4A_mixed,NASA_20%fade,2.0,4A_CC,0.2,valid,False,False,15,False,15.0,1.2529393053824995,78.56,125.4,80.0,2.0,0.0,unsupported_for_rul
