type,start_time,ambient_temperature,battery_id,test_id,uid,filename,Capacity,Re,Rct,group,end_reason,analysis_role,cap_flag,discharge_cycle_no,init_cap,SOH,eol_cycle,RUL
discharge,2010-04-14 16:43:39,24,B0038,0,2291,02291.csv,0.8980573709676724,,,E,QA_issue,excluded,valid,1,1.0613249847591086,84.62,,
discharge,2010-04-14 21:10:11,24,B0038,4,2295,02295.csv,1.1026236331914077,,,E,QA_issue,excluded,valid,2,1.0613249847591086,103.89,,
discharge,2010-04-15 00:37:31,24,B0038,6,2297,02297.csv,1.0885801879473431,,,E,QA_issue,excluded,valid,3,1.0613249847591086,102.57,,
discharge,2010-04-15 04:04:41,24,B0038,8,2299,02299.csv,1.0613249847591086,,,E,QA_issue,excluded,valid,4,1.0613249847591086,100.0,,
discharge,2010-04-15 07:31:40,24,B0038,10,2301,02301.csv,1.0347062057983545,,,E,QA_issue,excluded,valid,5,1.0613249847591086,97.49,,
discharge,2010-04-15 10:58:27,24,B0038,12,2303,02303.csv,1.0269978594353013,,,E,QA_issue,excluded,valid,6,1.0613249847591086,96.77,,
discharge,2010-04-16 12:15:00,24,B0038,16,2307,02307.csv,1.078501971098942,,,E,QA_issue,excluded,valid,7,1.0613249847591086,101.62,,
discharge,2010-04-16 16:48:31,24,B0038,20,2311,02311.csv,1.0638897478802845,,,E,QA_issue,excluded,valid,8,1.0613249847591086,100.24,,
discharge,2010-04-16 20:15:00,24,B0038,22,2313,02313.csv,1.0366551223324425,,,E,QA_issue,excluded,valid,9,1.0613249847591086,97.68,,
discharge,2010-04-16 23:41:13,24,B0038,24,2315,02315.csv,1.030941327482094,,,E,QA_issue,excluded,valid,10,1.0613249847591086,97.14,,
discharge,2010-04-17 03:07:06,24,B0038,26,2317,02317.csv,1.0140084541034655,,,E,QA_issue,excluded,valid,11,1.0613249847591086,95.54,,
discharge,2010-04-17 06:32:52,24,B0038,28,2319,02319.csv,1.008516095994519,,,E,QA_issue,excluded,valid,12,1.0613249847591086,95.02,,
discharge,2010-04-21 13:51:46,44,B0038,32,2323,02323.csv,1.7419245088095905,,,E,QA_issue,excluded,valid,13,1.0613249847591086,164.13,,
discharge,2010-04-21 19:29:11,44,B0038,36,2327,02327.csv,1.779741859708433,,,E,QA_issue,excluded,valid,14,1.0613249847591086,167.69,,
discharge,2010-04-21 23:57:08,44,B0038,38,2329,02329.csv,1.7815666306452766,,,E,QA_issue,excluded,valid,15,1.0613249847591086,167.86,,
discharge,2010-04-22 04:30:34,44,B0038,40,2331,02331.csv,1.7834859577156017,,,E,QA_issue,excluded,valid,16,1.0613249847591086,168.04,,
discharge,2010-04-22 08:59:11,44,B0038,42,2333,02333.csv,1.7864411650415677,,,E,QA_issue,excluded,valid,17,1.0613249847591086,168.32,,
discharge,2010-04-22 13:28:29,44,B0038,44,2335,02335.csv,1.7859997608067948,,,E,QA_issue,excluded,valid,18,1.0613249847591086,168.28,,
discharge,2010-04-23 16:52:59,44,B0038,48,2339,02339.csv,1.7769523773001608,,,E,QA_issue,excluded,valid,19,1.0613249847591086,167.43,,
discharge,2010-04-23 22:31:01,44,B0038,52,2343,02343.csv,1.781428917321899,,,E,QA_issue,excluded,valid,20,1.0613249847591086,167.85,,
discharge,2010-04-24 02:58:55,44,B0038,54,2345,02345.csv,1.7859452772697195,,,E,QA_issue,excluded,valid,21,1.0613249847591086,168.28,,
discharge,2010-04-24 07:27:28,44,B0038,56,2347,02347.csv,1.785208429691551,,,E,QA_issue,excluded,valid,22,1.0613249847591086,168.21,,
discharge,2010-04-24 11:56:33,44,B0038,58,2349,02349.csv,1.783596609584544,,,E,QA_issue,excluded,valid,23,1.0613249847591086,168.05,,
discharge,2010-04-24 16:24:41,44,B0038,60,2351,02351.csv,1.7796783152744713,,,E,QA_issue,excluded,valid,24,1.0613249847591086,167.68,,
discharge,2010-04-24 22:05:41,44,B0038,64,2355,02355.csv,1.7841102592788645,,,E,QA_issue,excluded,valid,25,1.0613249847591086,168.1,,
discharge,2010-04-25 02:33:59,44,B0038,66,2357,02357.csv,1.7833032331592191,,,E,QA_issue,excluded,valid,26,1.0613249847591086,168.03,,
discharge,2010-04-25 07:02:26,44,B0038,68,2359,02359.csv,1.7796186141356956,,,E,QA_issue,excluded,valid,27,1.0613249847591086,167.68,,
discharge,2010-04-25 11:31:04,44,B0038,70,2361,02361.csv,1.7816592334352586,,,E,QA_issue,excluded,valid,28,1.0613249847591086,167.87,,
discharge,2010-04-25 16:00:19,44,B0038,72,2363,02363.csv,1.7775911304124037,,,E,QA_issue,excluded,valid,29,1.0613249847591086,167.49,,
discharge,2010-04-25 21:41:58,44,B0038,76,2367,02367.csv,1.777701881971679,,,E,QA_issue,excluded,valid,30,1.0613249847591086,167.5,,
discharge,2010-04-26 02:19:22,44,B0038,78,2369,02369.csv,1.7789547618270618,,,E,QA_issue,excluded,valid,31,1.0613249847591086,167.62,,
discharge,2010-04-26 06:50:42,44,B0038,80,2371,02371.csv,1.7807753731135043,,,E,QA_issue,excluded,valid,32,1.0613249847591086,167.79,,
discharge,2010-04-26 11:20:44,44,B0038,82,2373,02373.csv,1.778415319026661,,,E,QA_issue,excluded,valid,33,1.0613249847591086,167.57,,
