type,start_time,ambient_temperature,battery_id,test_id,uid,filename,Capacity,Re,Rct,elapsed_hours_from_first,rest_hours_from_prev_discharge,group,end_reason,analysis_role,ambient_profile,load_profile,cutoff_voltage,eol_rule_source,cap_flag,cap_exclude,cap_anomaly,discharge_cycle_raw,is_hard_excluded,discharge_cycle_valid,init_cap,SOH_nominal,SOH_relative,eol_soh_threshold,eol_cycle,RUL
discharge,2010-07-21 15:00:35,4,B0045,0,185,00185.csv,1.0819793880779518,,,0.0,0.0,G,QA_issue,anomaly,4°C_stable,1A_CC,2.7,NASA_30%fade,valid,False,False,1,False,1.0,0.885193608411576,54.1,122.23,70.0,1.0,0.0
discharge,2010-07-21 21:02:56,4,B0045,4,189,00189.csv,0.927952404748273,,,6.039166666666667,0.5308333333333334,G,QA_issue,anomaly,4°C_stable,1A_CC,2.7,NASA_30%fade,valid,False,False,2,False,2.0,0.885193608411576,46.4,104.83,70.0,1.0,0.0
discharge,2010-07-22 01:40:06,4,B0045,6,191,00191.csv,0.885193608411576,,,10.658611111111112,3.0230555555555556,G,QA_issue,anomaly,4°C_stable,1A_CC,2.7,NASA_30%fade,valid,False,False,3,False,3.0,0.885193608411576,44.26,100.0,70.0,1.0,0.0
discharge,2010-07-22 06:16:21,4,B0045,8,193,00193.csv,0.8581010699478283,,,15.262777777777778,3.0244444444444443,G,QA_issue,anomaly,4°C_stable,1A_CC,2.7,NASA_30%fade,valid,False,False,4,False,4.0,0.885193608411576,42.91,96.94,70.0,1.0,0.0
discharge,2010-07-22 10:51:48,4,B0045,10,195,00195.csv,0.8409352213456689,,,19.85361111111111,3.0241666666666664,G,QA_issue,anomaly,4°C_stable,1A_CC,2.7,NASA_30%fade,valid,False,False,5,False,5.0,0.885193608411576,42.05,95.0,70.0,1.0,0.0
discharge,2010-07-22 15:26:29,4,B0045,12,197,00197.csv,0.8245471942901911,,,24.43166666666667,3.023888888888889,G,QA_issue,anomaly,4°C_stable,1A_CC,2.7,NASA_30%fade,valid,False,False,6,False,6.0,0.885193608411576,41.23,93.15,70.0,1.0,0.0
discharge,2010-07-23 09:59:08,4,B0045,16,201,00201.csv,0.7935960418803983,,,42.975833333333334,13.311944444444444,G,QA_issue,anomaly,4°C_stable,1A_CC,2.7,NASA_30%fade,valid,False,False,7,False,7.0,0.885193608411576,39.68,89.65,70.0,1.0,0.0
discharge,2010-07-23 15:44:51,4,B0045,20,205,00205.csv,0.8183676087159205,,,48.73777777777778,0.5311111111111111,G,QA_issue,anomaly,4°C_stable,1A_CC,2.7,NASA_30%fade,valid,False,False,8,False,8.0,0.885193608411576,40.92,92.45,70.0,1.0,0.0
discharge,2010-07-23 20:19:02,4,B0045,22,207,00207.csv,0.7977644276409412,,,53.3075,3.023888888888889,G,QA_issue,anomaly,4°C_stable,1A_CC,2.7,NASA_30%fade,valid,False,False,9,False,9.0,0.885193608411576,39.89,90.12,70.0,1.0,0.0
discharge,2010-07-24 00:52:14,4,B0045,24,209,00209.csv,0.7993777411831636,,,57.86083333333333,3.0233333333333334,G,QA_issue,anomaly,4°C_stable,1A_CC,2.7,NASA_30%fade,valid,False,False,10,False,10.0,0.885193608411576,39.97,90.31,70.0,1.0,0.0
