type,start_time,ambient_temperature,battery_id,test_id,uid,filename,Capacity,Re,Rct,group,end_reason,analysis_role,cap_flag,discharge_cycle_no,init_cap,SOH,eol_cycle,RUL
discharge,2010-09-17 15:17:48,4,B0053,0,6672,06672.csv,1.06914178861943,,,I,QA_issue,anomaly,valid,1,1.1305863853936766,94.57,,
discharge,2010-09-17 20:11:19,4,B0053,4,6676,06676.csv,1.1540727934432229,,,I,QA_issue,anomaly,valid,2,1.1305863853936766,102.08,,
discharge,2010-09-17 23:56:44,4,B0053,6,6678,06678.csv,1.1501525413826983,,,I,QA_issue,anomaly,valid,3,1.1305863853936766,101.73,,
discharge,2010-09-18 03:41:26,4,B0053,8,6680,06680.csv,1.1305863853936766,,,I,QA_issue,anomaly,valid,4,1.1305863853936766,100.0,,
discharge,2010-09-18 07:25:38,4,B0053,10,6682,06682.csv,1.121790272357562,,,I,QA_issue,anomaly,valid,5,1.1305863853936766,99.22,,
discharge,2010-09-18 11:09:35,4,B0053,12,6684,06684.csv,1.1135982401443856,,,I,QA_issue,anomaly,valid,6,1.1305863853936766,98.5,,
discharge,2010-09-18 16:05:06,4,B0053,16,6688,06688.csv,1.0864654057095062,,,I,QA_issue,anomaly,valid,7,1.1305863853936766,96.1,,
discharge,2010-09-18 19:49:23,4,B0053,18,6690,06690.csv,1.0647493568993147,,,I,QA_issue,anomaly,valid,8,1.1305863853936766,94.18,,
discharge,2010-09-18 23:33:26,4,B0053,20,6692,06692.csv,1.0809288094959644,,,I,QA_issue,anomaly,valid,9,1.1305863853936766,95.61,,
discharge,2010-09-19 03:17:11,4,B0053,22,6694,06694.csv,1.0852752041846463,,,I,QA_issue,anomaly,valid,10,1.1305863853936766,95.99,,
discharge,2010-09-19 07:00:37,4,B0053,24,6696,06696.csv,1.0504799933740894,,,I,QA_issue,anomaly,valid,11,1.1305863853936766,92.91,,
discharge,2010-09-19 11:55:48,4,B0053,28,6700,06700.csv,1.0853550177054303,,,I,QA_issue,anomaly,valid,12,1.1305863853936766,96.0,,
discharge,2010-09-19 15:38:44,4,B0053,30,6702,06702.csv,1.0508395690790722,,,I,QA_issue,anomaly,valid,13,1.1305863853936766,92.95,,
discharge,2010-09-19 19:22:11,4,B0053,32,6704,06704.csv,1.060906788333118,,,I,QA_issue,anomaly,valid,14,1.1305863853936766,93.84,,
discharge,2010-09-19 23:05:17,4,B0053,34,6706,06706.csv,1.070582461063814,,,I,QA_issue,anomaly,valid,15,1.1305863853936766,94.69,,
discharge,2010-09-20 02:48:11,4,B0053,36,6708,06708.csv,1.024036665663697,,,I,QA_issue,anomaly,valid,16,1.1305863853936766,90.58,,
discharge,2010-09-20 07:42:50,4,B0053,40,6712,06712.csv,1.0670957253433857,,,I,QA_issue,anomaly,valid,17,1.1305863853936766,94.38,,
discharge,2010-09-20 11:25:31,4,B0053,42,6714,06714.csv,1.0279237850447498,,,I,QA_issue,anomaly,valid,18,1.1305863853936766,90.92,,
discharge,2010-09-20 15:08:29,4,B0053,44,6716,06716.csv,1.0325426399701008,,,I,QA_issue,anomaly,valid,19,1.1305863853936766,91.33,,
discharge,2010-09-20 18:51:21,4,B0053,46,6718,06718.csv,1.055948784653705,,,I,QA_issue,anomaly,valid,20,1.1305863853936766,93.4,,
discharge,2010-09-20 22:33:25,4,B0053,48,6720,06720.csv,1.0445313831308718,,,I,QA_issue,anomaly,valid,21,1.1305863853936766,92.39,,
discharge,2010-09-21 16:21:05,4,B0053,52,6724,06724.csv,1.035313906812183,,,I,QA_issue,anomaly,valid,22,1.1305863853936766,91.57,,
discharge,2010-09-21 21:16:13,4,B0053,56,6728,06728.csv,1.076341053101982,,,I,QA_issue,anomaly,valid,23,1.1305863853936766,95.2,,
discharge,2010-09-22 00:59:48,4,B0053,58,6730,06730.csv,1.0352223140423542,,,I,QA_issue,anomaly,valid,24,1.1305863853936766,91.57,,
discharge,2010-09-22 04:42:50,4,B0053,60,6732,06732.csv,1.0514287056908256,,,I,QA_issue,anomaly,valid,25,1.1305863853936766,93.0,,
discharge,2010-09-22 08:25:42,4,B0053,62,6734,06734.csv,1.060332934638968,,,I,QA_issue,anomaly,valid,26,1.1305863853936766,93.79,,
discharge,2010-09-22 12:07:52,4,B0053,64,6736,06736.csv,1.0236966462748538,,,I,QA_issue,anomaly,valid,27,1.1305863853936766,90.55,,
discharge,2010-09-22 17:02:11,4,B0053,68,6740,06740.csv,1.0465884668750889,,,I,QA_issue,anomaly,valid,28,1.1305863853936766,92.57,,
discharge,2010-09-22 20:44:38,4,B0053,70,6742,06742.csv,1.0031121684812232,,,I,QA_issue,anomaly,valid,29,1.1305863853936766,88.72,,
discharge,2010-09-23 00:27:12,4,B0053,72,6744,06744.csv,1.0461578935615607,,,I,QA_issue,anomaly,valid,30,1.1305863853936766,92.53,,
discharge,2010-09-23 04:09:08,4,B0053,74,6746,06746.csv,1.0156263513525603,,,I,QA_issue,anomaly,valid,31,1.1305863853936766,89.83,,
discharge,2010-09-23 07:51:17,4,B0053,76,6748,06748.csv,1.0250054893129452,,,I,QA_issue,anomaly,valid,32,1.1305863853936766,90.66,,
discharge,2010-09-23 12:44:52,4,B0053,80,6752,06752.csv,0.9801331625592912,,,I,QA_issue,anomaly,valid,33,1.1305863853936766,86.69,,
discharge,2010-09-23 16:27:06,4,B0053,82,6754,06754.csv,1.036777776420363,,,I,QA_issue,anomaly,valid,34,1.1305863853936766,91.7,,
discharge,2010-09-23 20:08:35,4,B0053,84,6756,06756.csv,1.026830062058722,,,I,QA_issue,anomaly,valid,35,1.1305863853936766,90.82,,
discharge,2010-09-23 23:50:11,4,B0053,86,6758,06758.csv,1.0150379662805102,,,I,QA_issue,anomaly,valid,36,1.1305863853936766,89.78,,
discharge,2010-09-24 03:31:49,4,B0053,88,6760,06760.csv,0.9904614739486176,,,I,QA_issue,anomaly,valid,37,1.1305863853936766,87.61,,
discharge,2010-09-24 08:25:18,4,B0053,92,6764,06764.csv,1.0145765174582757,,,I,QA_issue,anomaly,valid,38,1.1305863853936766,89.74,,
discharge,2010-09-24 12:07:03,4,B0053,94,6766,06766.csv,0.9811308944080388,,,I,QA_issue,anomaly,valid,39,1.1305863853936766,86.78,,
discharge,2010-09-24 15:48:49,4,B0053,96,6768,06768.csv,1.0041687429386437,,,I,QA_issue,anomaly,valid,40,1.1305863853936766,88.82,,
