type,start_time,ambient_temperature,battery_id,test_id,uid,filename,Capacity,Re,Rct,group,end_reason,analysis_role,impedance_cycle_no
impedance,2008-04-18 20:55:29,24,B0005,40,5161,05161.csv,,0.0446687003661609,0.0694562730453699,A,EOL,main,1
impedance,2008-04-18 22:39:16,24,B0005,42,5163,05163.csv,,0.0466870016248693,0.0762747409853058,A,EOL,main,2
impedance,2008-04-19 02:14:27,24,B0005,44,5165,05165.csv,,0.044843430573346,0.0679720560130687,A,EOL,main,3
impedance,2008-04-19 03:57:24,24,B0005,46,5167,05167.csv,,0.0461946895509937,0.0745338891843796,A,EOL,main,4
impedance,2008-04-19 07:32:33,24,B0005,48,5169,05169.csv,,0.04510114851143,0.0685283289600032,A,EOL,main,5
impedance,2008-04-19 09:15:10,24,B0005,50,5171,05171.csv,,0.0459907447307683,0.0734266410877331,A,EOL,main,6
impedance,2008-04-19 12:47:00,24,B0005,52,5173,05173.csv,,0.0441720755771717,0.0680444951699617,A,EOL,main,7
impedance,2008-04-19 14:28:58,24,B0005,54,5175,05175.csv,,0.0452171085992494,0.0746477840841336,A,EOL,main,8
impedance,2008-04-19 18:12:47,24,B0005,56,5177,05177.csv,,0.0437866281960759,0.0684502122707276,A,EOL,main,9
impedance,2008-04-19 19:55:05,24,B0005,58,5179,05179.csv,,0.0449099454136579,0.0739568760325419,A,EOL,main,10
impedance,2008-04-19 23:27:13,24,B0005,60,5181,05181.csv,,0.0446393219887852,0.0683410113732366,A,EOL,main,11
impedance,2008-04-20 01:08:11,24,B0005,62,5183,05183.csv,,0.0471704408693174,0.072081121644792,A,EOL,main,12
impedance,2008-04-20 04:39:59,24,B0005,64,5185,05185.csv,,0.0435587857754753,0.0686823765587221,A,EOL,main,13
impedance,2008-04-20 06:20:57,24,B0005,66,5187,05187.csv,,0.0464896970863564,0.0710290933933924,A,EOL,main,14
impedance,2008-04-20 10:01:46,24,B0005,68,5189,05189.csv,,0.0452654781826178,0.0681437253042456,A,EOL,main,15
impedance,2008-04-20 11:42:26,24,B0005,70,5191,05191.csv,,0.0463622366817154,0.0719302986054303,A,EOL,main,16
impedance,2008-04-20 15:22:22,24,B0005,72,5193,05193.csv,,0.0444837157774346,0.0678255571971684,A,EOL,main,17
impedance,2008-04-20 17:03:01,24,B0005,74,5195,05195.csv,,0.0448279130020564,0.072888269527583,A,EOL,main,18
