type,start_time,ambient_temperature,battery_id,test_id,uid,filename,Capacity,Re,Rct,group,end_reason,analysis_role,impedance_cycle_no
impedance,2009-04-07 15:59:18,43,B0029,0,1353,01353.csv,,0.0283404555299767,0.0447022577166673,C,censored,comparison,1
impedance,2009-04-08 05:56:52,43,B0029,10,1363,01363.csv,,0.0277999338202675,0.0409783137166372,C,censored,comparison,2
impedance,2009-04-08 09:17:02,43,B0029,12,1365,01365.csv,,0.0281413211997284,0.0395426241816272,C,censored,comparison,3
impedance,2009-04-09 23:31:02,43,B0029,22,1375,01375.csv,,0.0286950455334734,0.040302375166984,C,censored,comparison,4
impedance,2009-04-10 02:48:41,43,B0029,24,1377,01377.csv,,0.0288621768903095,0.0397409356337989,C,censored,comparison,5
impedance,2009-04-11 01:40:51,43,B0029,34,1387,01387.csv,,0.0282293873758797,0.0414436920478558,C,censored,comparison,6
impedance,2009-04-11 04:55:36,43,B0029,36,1389,01389.csv,,0.0282937539623187,0.039916894661314,C,censored,comparison,7
impedance,2009-04-13 22:42:05,43,B0029,46,1399,01399.csv,,0.0286130146153825,0.0415589660967149,C,censored,comparison,8
impedance,2009-04-14 01:55:15,43,B0029,48,1401,01401.csv,,0.0279994846267451,0.0400246219184316,C,censored,comparison,9
impedance,2009-04-14 23:17:53,43,B0029,58,1411,01411.csv,,0.0278705700225645,0.0404256102740876,C,censored,comparison,10
impedance,2009-04-15 02:29:53,43,B0029,60,1413,01413.csv,,0.0281542783809788,0.0403131169157872,C,censored,comparison,11
impedance,2009-04-16 03:38:19,43,B0029,70,1423,01423.csv,,0.0271892849624871,0.0406927954712033,C,censored,comparison,12
impedance,2009-04-16 06:50:32,43,B0029,72,1425,01425.csv,,0.0276450150366069,0.0409514389077648,C,censored,comparison,13
impedance,2009-04-16 22:48:37,43,B0029,82,1435,01435.csv,,0.0270501630154992,0.0408242223325137,C,censored,comparison,14
impedance,2009-04-17 02:02:02,43,B0029,84,1437,01437.csv,,0.0282563620387149,0.0405730242022363,C,censored,comparison,15
impedance,2009-04-17 22:17:27,43,B0029,94,1447,01447.csv,,0.0282771401308053,0.041414871228234,C,censored,comparison,16
impedance,2009-04-18 01:29:13,43,B0029,96,1449,01449.csv,,0.028168909782269,0.041195686040955,C,censored,comparison,17
