type,start_time,ambient_temperature,battery_id,test_id,uid,filename,Capacity,Re,Rct,elapsed_hours_from_first,hours_from_prev_operation,group,end_reason,analysis_role,test_temperature_profile,load_profile,eol_rule_source,cutoff_voltage,discharge_current,eol_fade_threshold,cap_flag,cap_exclude,cap_anomaly,discharge_cycle_raw,is_hard_excluded,discharge_cycle_valid,init_cap,SOH_nominal,SOH_relative,eol_soh_threshold,eol_cycle,RUL,rul_label_type
discharge,2008-04-02 15:25:41,24,B0005,1,5122,05122.csv,1.8564874208181572,,,2.29,2.29,A,EOL,main,24°C_stable,2A_CC,NASA_30%fade,2.7,2A_CC,0.3,valid,False,False,1,False,1.0,1.835349194223408,92.82,101.15,70.0,125.0,124.0,supervised
discharge,2008-04-02 19:43:48,24,B0005,3,5124,05124.csv,1.846327249719927,,,6.591944444444445,3.0991666666666666,A,EOL,main,24°C_stable,2A_CC,NASA_30%fade,2.7,2A_CC,0.3,valid,False,False,2,False,2.0,1.835349194223408,92.32,100.6,70.0,125.0,123.0,supervised
discharge,2008-04-03 00:01:06,24,B0005,5,5126,05126.csv,1.835349194223408,,,10.880277777777778,3.0905555555555555,A,EOL,main,24°C_stable,2A_CC,NASA_30%fade,2.7,2A_CC,0.3,valid,False,False,3,False,3.0,1.835349194223408,91.77,100.0,70.0,125.0,122.0,supervised
discharge,2008-04-03 04:16:37,24,B0005,7,5128,05128.csv,1.8352625275821128,,,15.13888888888889,3.066388888888889,A,EOL,main,24°C_stable,2A_CC,NASA_30%fade,2.7,2A_CC,0.3,valid,False,False,4,False,4.0,1.835349194223408,91.76,100.0,70.0,125.0,121.0,supervised
discharge,2008-04-03 08:33:25,24,B0005,9,5130,05130.csv,1.8346455082120416,,,19.41888888888889,3.0933333333333333,A,EOL,main,24°C_stable,2A_CC,NASA_30%fade,2.7,2A_CC,0.3,valid,False,False,5,False,5.0,1.835349194223408,91.73,99.96,70.0,125.0,120.0,supervised
discharge,2008-04-03 12:55:10,24,B0005,11,5132,05132.csv,1.8356616600675493,,,23.781388888888888,3.176388888888889,A,EOL,main,24°C_stable,2A_CC,NASA_30%fade,2.7,2A_CC,0.3,valid,False,False,6,False,6.0,1.835349194223408,91.78,100.02,70.0,125.0,119.0,supervised
discharge,2008-04-03 17:17:16,24,B0005,13,5134,05134.csv,1.8351461429226603,,,28.149722222222223,3.1758333333333333,A,EOL,main,24°C_stable,2A_CC,NASA_30%fade,2.7,2A_CC,0.3,valid,False,False,7,False,7.0,1.835349194223408,91.76,99.99,70.0,125.0,118.0,supervised
discharge,2008-04-03 21:28:14,24,B0005,15,5136,05136.csv,1.8257567905665535,,,32.3325,2.9908333333333332,A,EOL,main,24°C_stable,2A_CC,NASA_30%fade,2.7,2A_CC,0.3,valid,False,False,8,False,8.0,1.835349194223408,91.29,99.48,70.0,125.0,117.0,supervised
discharge,2008-04-04 01:38:15,24,B0005,17,5138,05138.csv,1.8247738529891333,,,36.49944444444444,2.9966666666666666,A,EOL,main,24°C_stable,2A_CC,NASA_30%fade,2.7,2A_CC,0.3,valid,False,False,9,False,9.0,1.835349194223408,91.24,99.42,70.0,125.0,116.0,supervised
discharge,2008-04-04 05:48:08,24,B0005,19,5140,05140.csv,1.824613268496936,,,40.66416666666667,3.0005555555555556,A,EOL,main,24°C_stable,2A_CC,NASA_30%fade,2.7,2A_CC,0.3,valid,False,False,10,False,10.0,1.835349194223408,91.23,99.42,70.0,125.0,115.0,supervised
discharge,2008-04-04 09:57:19,24,B0005,21,5142,05142.csv,1.8246195526864504,,,44.81722222222222,2.988611111111111,A,EOL,main,24°C_stable,2A_CC,NASA_30%fade,2.7,2A_CC,0.3,valid,False,False,11,False,11.0,1.835349194223408,91.23,99.42,70.0,125.0,114.0,supervised
discharge,2008-04-04 17:56:27,24,B0005,24,5145,05145.csv,1.814201935767392,,,52.80277777777778,2.841111111111111,A,EOL,main,24°C_stable,2A_CC,NASA_30%fade,2.7,2A_CC,0.3,valid,False,False,12,False,12.0,1.835349194223408,90.71,98.85,70.0,125.0,113.0,supervised
discharge,2008-04-04 22:01:54,24,B0005,26,5147,05147.csv,1.8137521577549052,,,56.89361111111111,2.9430555555555555,A,EOL,main,24°C_stable,2A_CC,NASA_30%fade,2.7,2A_CC,0.3,valid,False,False,13,False,13.0,1.835349194223408,90.69,98.82,70.0,125.0,112.0,supervised
