type,start_time,ambient_temperature,battery_id,test_id,uid,filename,Capacity,Re,Rct,group,end_reason,analysis_role,cap_flag,discharge_cycle_no,init_cap,SOH,eol_cycle,RUL
discharge,2009-02-13 23:12:28,24,B0025,3,4003,04003.csv,1.847011162956716,,,B,censored,excluded,valid,1,1.847111177186175,99.99,,
discharge,2009-02-14 04:03:34,24,B0025,5,4005,04005.csv,1.8485654344528384,,,B,censored,excluded,valid,2,1.847111177186175,100.08,,
discharge,2009-02-14 08:54:41,24,B0025,7,4007,04007.csv,1.847111177186175,,,B,censored,excluded,valid,3,1.847111177186175,100.0,,
discharge,2009-02-14 13:45:23,24,B0025,9,4009,04009.csv,1.8489837601535537,,,B,censored,excluded,valid,4,1.847111177186175,100.1,,
discharge,2009-02-14 18:35:40,24,B0025,11,4011,04011.csv,1.837012071856044,,,B,censored,excluded,valid,5,1.847111177186175,99.45,,
discharge,2009-02-18 10:48:58,24,B0025,15,4015,04015.csv,1.817549211247137,,,B,censored,excluded,valid,6,1.847111177186175,98.4,,
discharge,2009-02-18 16:49:07,24,B0025,19,4019,04019.csv,1.839863822522073,,,B,censored,excluded,valid,7,1.847111177186175,99.61,,
discharge,2009-02-19 00:52:49,24,B0025,22,4022,04022.csv,1.8430595619731431,,,B,censored,excluded,valid,8,1.847111177186175,99.78,,
discharge,2009-02-19 05:38:57,24,B0025,24,4024,04024.csv,1.8401871729536057,,,B,censored,excluded,valid,9,1.847111177186175,99.63,,
discharge,2009-02-19 10:25:15,24,B0025,26,4026,04026.csv,1.8281265632888255,,,B,censored,excluded,valid,10,1.847111177186175,98.97,,
discharge,2009-02-20 09:44:26,24,B0025,30,4030,04030.csv,1.8253563336445804,,,B,censored,excluded,valid,11,1.847111177186175,98.82,,
discharge,2009-02-20 15:43:26,24,B0025,34,4034,04034.csv,1.8214180552626156,,,B,censored,excluded,valid,12,1.847111177186175,98.61,,
discharge,2009-02-20 20:27:00,24,B0025,36,4036,04036.csv,1.830315627968932,,,B,censored,excluded,valid,13,1.847111177186175,99.09,,
discharge,2009-02-21 01:12:57,24,B0025,38,4038,04038.csv,1.8175491643824844,,,B,censored,excluded,valid,14,1.847111177186175,98.4,,
discharge,2009-02-21 05:57:05,24,B0025,40,4040,04040.csv,1.810901200296979,,,B,censored,excluded,valid,15,1.847111177186175,98.04,,
discharge,2009-02-21 10:42:44,24,B0025,42,4042,04042.csv,1.8083032603084237,,,B,censored,excluded,valid,16,1.847111177186175,97.9,,
discharge,2009-03-02 16:30:34,24,B0025,46,4046,04046.csv,1.7928016149381063,,,B,censored,excluded,valid,17,1.847111177186175,97.06,,
discharge,2009-03-02 22:19:45,24,B0025,50,4050,04050.csv,1.812563150045885,,,B,censored,excluded,valid,18,1.847111177186175,98.13,,
discharge,2009-03-03 02:59:39,24,B0025,52,4052,04052.csv,1.807772607491239,,,B,censored,excluded,valid,19,1.847111177186175,97.87,,
