type,start_time,ambient_temperature,battery_id,test_id,uid,filename,Capacity,Re,Rct,elapsed_hours_from_first,hours_from_prev_operation,group,end_reason,analysis_role,test_temperature_profile,load_profile,eol_rule_source,cutoff_voltage,discharge_current,eol_fade_threshold,cap_flag,cap_exclude,cap_anomaly,discharge_cycle_raw,is_hard_excluded,discharge_cycle_valid,init_cap,SOH_nominal,SOH_relative,eol_soh_threshold,eol_cycle,RUL,rul_label_type
discharge,2009-04-07 16:31:01,43,B0029,1,1354,01354.csv,1.697507332205763,,,0.5286111111111111,0.5286111111111111,C,censored,comparison,43°C_stable,4A_CC,censored,2.7,4A,0.3,valid,False,False,1,False,1.0,1.815750429913437,84.88,93.49,70.0,,,censored
discharge,2009-04-07 19:44:26,43,B0029,3,1356,01356.csv,1.844701206961174,,,3.752222222222222,2.7644444444444445,C,censored,comparison,43°C_stable,4A_CC,censored,2.7,4A,0.3,valid,False,False,2,False,2.0,1.815750429913437,92.24,101.59,70.0,,,censored
discharge,2009-04-07 22:58:18,43,B0029,5,1358,01358.csv,1.8254376674722927,,,6.983333333333333,2.730277777777778,C,censored,comparison,43°C_stable,4A_CC,censored,2.7,4A,0.3,valid,False,False,3,False,3.0,1.815750429913437,91.27,100.53,70.0,,,censored
discharge,2009-04-08 02:11:30,43,B0029,7,1360,01360.csv,1.815750429913437,,,10.203333333333333,2.7241666666666666,C,censored,comparison,43°C_stable,4A_CC,censored,2.7,4A,0.3,valid,False,False,4,False,4.0,1.815750429913437,90.79,100.0,70.0,,,censored
discharge,2009-04-08 05:23:26,43,B0029,9,1362,01362.csv,1.8132993337127028,,,13.402222222222223,2.705277777777778,C,censored,comparison,43°C_stable,4A_CC,censored,2.7,4A,0.3,valid,False,False,5,False,5.0,1.815750429913437,90.66,99.87,70.0,,,censored
discharge,2009-04-09 10:24:58,43,B0029,13,1366,01366.csv,1.8151647619660576,,,42.42777777777778,25.13222222222222,C,censored,comparison,43°C_stable,4A_CC,censored,2.7,4A,0.3,valid,False,False,6,False,6.0,1.815750429913437,90.76,99.97,70.0,,,censored
discharge,2009-04-09 13:33:59,43,B0029,15,1368,01368.csv,1.8143317955190057,,,45.57805555555556,2.6616666666666666,C,censored,comparison,43°C_stable,4A_CC,censored,2.7,4A,0.3,valid,False,False,7,False,7.0,1.815750429913437,90.72,99.92,70.0,,,censored
discharge,2009-04-09 16:42:43,43,B0029,17,1370,01370.csv,1.801343601809866,,,48.72361111111111,2.6569444444444446,C,censored,comparison,43°C_stable,4A_CC,censored,2.7,4A,0.3,valid,False,False,8,False,8.0,1.815750429913437,90.07,99.21,70.0,,,censored
discharge,2009-04-09 19:50:50,43,B0029,19,1372,01372.csv,1.7881558802945825,,,51.85888888888889,2.65,C,censored,comparison,43°C_stable,4A_CC,censored,2.7,4A,0.3,valid,False,False,9,False,9.0,1.815750429913437,89.41,98.48,70.0,,,censored
discharge,2009-04-09 22:58:17,43,B0029,21,1374,01374.csv,1.7760714604539518,,,54.98305555555555,2.6422222222222222,C,censored,comparison,43°C_stable,4A_CC,censored,2.7,4A,0.3,valid,False,False,10,False,10.0,1.815750429913437,88.8,97.81,70.0,,,censored
discharge,2009-04-10 12:49:04,43,B0029,25,1378,01378.csv,1.7852807447597443,,,68.82944444444445,10.006388888888889,C,censored,comparison,43°C_stable,4A_CC,censored,2.7,4A,0.3,valid,False,False,11,False,11.0,1.815750429913437,89.26,98.32,70.0,,,censored
discharge,2009-04-10 15:54:20,43,B0029,27,1380,01380.csv,1.7698116401111978,,,71.91722222222222,2.6061111111111113,C,censored,comparison,43°C_stable,4A_CC,censored,2.7,4A,0.3,valid,False,False,12,False,12.0,1.815750429913437,88.49,97.47,70.0,,,censored
discharge,2009-04-10 18:59:06,43,B0029,29,1382,01382.csv,1.7565231680521758,,,74.99666666666667,2.598888888888889,C,censored,comparison,43°C_stable,4A_CC,censored,2.7,4A,0.3,valid,False,False,13,False,13.0,1.815750429913437,87.83,96.74,70.0,,,censored
discharge,2009-04-10 22:03:26,43,B0029,31,1384,01384.csv,1.7543413277348154,,,78.06888888888889,2.5947222222222224,C,censored,comparison,43°C_stable,4A_CC,censored,2.7,4A,0.3,valid,False,False,14,False,14.0,1.815750429913437,87.72,96.62,70.0,,,censored
discharge,2009-04-11 01:08:27,43,B0029,33,1386,01386.csv,1.7392875506998715,,,81.1525,2.6094444444444442,C,censored,comparison,43°C_stable,4A_CC,censored,2.7,4A,0.3,valid,False,False,15,False,15.0,1.815750429913437,86.96,95.79,70.0,,,censored
discharge,2009-04-13 09:51:27,43,B0029,37,1390,01390.csv,1.7797845109331345,,,137.86916666666667,52.93083333333333,C,censored,comparison,43°C_stable,4A_CC,censored,2.7,4A,0.3,valid,False,False,16,False,16.0,1.815750429913437,88.99,98.02,70.0,,,censored
discharge,2009-04-13 12:55:24,43,B0029,39,1392,01392.csv,1.7657088508465202,,,140.935,2.5877777777777777,C,censored,comparison,43°C_stable,4A_CC,censored,2.7,4A,0.3,valid,False,False,17,False,17.0,1.815750429913437,88.29,97.24,70.0,,,censored
discharge,2009-04-13 15:59:56,43,B0029,41,1394,01394.csv,1.7523941408724169,,,144.01055555555556,2.5952777777777776,C,censored,comparison,43°C_stable,4A_CC,censored,2.7,4A,0.3,valid,False,False,18,False,18.0,1.815750429913437,87.62,96.51,70.0,,,censored
discharge,2009-04-13 19:04:39,43,B0029,43,1396,01396.csv,1.7380191225603103,,,147.08916666666667,2.6013888888888888,C,censored,comparison,43°C_stable,4A_CC,censored,2.7,4A,0.3,valid,False,False,19,False,19.0,1.815750429913437,86.9,95.72,70.0,,,censored
discharge,2009-04-13 22:09:45,43,B0029,45,1398,01398.csv,1.7312214443143976,,,150.17416666666668,2.611388888888889,C,censored,comparison,43°C_stable,4A_CC,censored,2.7,4A,0.3,valid,False,False,20,False,20.0,1.815750429913437,86.56,95.34,70.0,,,censored
discharge,2009-04-14 10:33:23,43,B0029,49,1402,01402.csv,1.7379128985265808,,,162.56805555555556,8.635555555555555,C,censored,comparison,43°C_stable,4A_CC,censored,2.7,4A,0.3,valid,False,False,21,False,21.0,1.815750429913437,86.9,95.71,70.0,,,censored
