type,start_time,ambient_temperature,battery_id,test_id,uid,filename,Capacity,Re,Rct,group,end_reason,analysis_role,cap_flag,discharge_cycle_no,init_cap,SOH,eol_cycle,RUL
discharge,2009-06-19 17:18:16,24,B0033,0,2413,02413.csv,0.0684257224060181,,,D,QA_issue,excluded,low_anomaly,1,1.2529393053824995,,2.0,1.0
discharge,2009-06-19 22:02:50,24,B0033,4,2417,02417.csv,0.6895699007862814,,,D,QA_issue,excluded,valid,2,1.2529393053824995,55.04,2.0,0.0
discharge,2009-06-20 01:59:39,24,B0033,6,2419,02419.csv,1.1610848192311252,,,D,QA_issue,excluded,valid,3,1.2529393053824995,92.67,2.0,0.0
discharge,2009-06-20 05:55:38,24,B0033,8,2421,02421.csv,1.2529393053824995,,,D,QA_issue,excluded,valid,4,1.2529393053824995,100.0,2.0,0.0
discharge,2009-06-20 09:50:35,24,B0033,10,2423,02423.csv,1.302918002447558,,,D,QA_issue,excluded,valid,5,1.2529393053824995,103.99,2.0,0.0
discharge,2009-06-20 13:47:19,24,B0033,12,2425,02425.csv,1.3218773211472523,,,D,QA_issue,excluded,valid,6,1.2529393053824995,105.5,2.0,0.0
discharge,2009-06-20 18:55:22,24,B0033,16,2429,02429.csv,1.2884694418301417,,,D,QA_issue,excluded,valid,7,1.2529393053824995,102.84,2.0,0.0
discharge,2009-06-20 22:51:49,24,B0033,18,2431,02431.csv,1.713169326386719,,,D,QA_issue,excluded,valid,8,1.2529393053824995,136.73,2.0,0.0
discharge,2009-06-21 02:48:20,24,B0033,20,2433,02433.csv,1.6560966776720512,,,D,QA_issue,excluded,valid,9,1.2529393053824995,132.18,2.0,0.0
discharge,2009-06-21 06:44:49,24,B0033,22,2435,02435.csv,1.6197297341990775,,,D,QA_issue,excluded,valid,10,1.2529393053824995,129.27,2.0,0.0
discharge,2009-06-21 10:41:15,24,B0033,24,2437,02437.csv,1.604655812282729,,,D,QA_issue,excluded,valid,11,1.2529393053824995,128.07,2.0,0.0
discharge,2009-06-21 15:49:05,24,B0033,28,2441,02441.csv,1.6255699769029337,,,D,QA_issue,excluded,valid,12,1.2529393053824995,129.74,2.0,0.0
discharge,2009-06-21 19:45:24,24,B0033,30,2443,02443.csv,1.5900967306245992,,,D,QA_issue,excluded,valid,13,1.2529393053824995,126.91,2.0,0.0
discharge,2009-06-21 23:41:43,24,B0033,32,2445,02445.csv,1.5739402299623984,,,D,QA_issue,excluded,valid,14,1.2529393053824995,125.62,2.0,0.0
discharge,2009-06-22 03:37:57,24,B0033,34,2447,02447.csv,1.5711303351557309,,,D,QA_issue,excluded,valid,15,1.2529393053824995,125.4,2.0,0.0
