type,start_time,ambient_temperature,battery_id,test_id,uid,filename,Capacity,Re,Rct,group,end_reason,analysis_role,cap_flag,discharge_cycle_no,init_cap,SOH,eol_cycle,RUL
discharge,2010-07-21 15:00:35,4,B0045,0,185,00185.csv,1.0819793880779518,,,G,QA_issue,anomaly,valid,1,0.885193608411576,122.23,28.0,27.0
discharge,2010-07-21 21:02:56,4,B0045,4,189,00189.csv,0.927952404748273,,,G,QA_issue,anomaly,valid,2,0.885193608411576,104.83,28.0,26.0
discharge,2010-07-22 01:40:06,4,B0045,6,191,00191.csv,0.885193608411576,,,G,QA_issue,anomaly,valid,3,0.885193608411576,100.0,28.0,25.0
discharge,2010-07-22 06:16:21,4,B0045,8,193,00193.csv,0.8581010699478283,,,G,QA_issue,anomaly,valid,4,0.885193608411576,96.94,28.0,24.0
discharge,2010-07-22 10:51:48,4,B0045,10,195,00195.csv,0.8409352213456689,,,G,QA_issue,anomaly,valid,5,0.885193608411576,95.0,28.0,23.0
discharge,2010-07-22 15:26:29,4,B0045,12,197,00197.csv,0.8245471942901911,,,G,QA_issue,anomaly,valid,6,0.885193608411576,93.15,28.0,22.0
discharge,2010-07-23 09:59:08,4,B0045,16,201,00201.csv,0.7935960418803983,,,G,QA_issue,anomaly,valid,7,0.885193608411576,89.65,28.0,21.0
discharge,2010-07-23 15:44:51,4,B0045,20,205,00205.csv,0.8183676087159205,,,G,QA_issue,anomaly,valid,8,0.885193608411576,92.45,28.0,20.0
discharge,2010-07-23 20:19:02,4,B0045,22,207,00207.csv,0.7977644276409412,,,G,QA_issue,anomaly,valid,9,0.885193608411576,90.12,28.0,19.0
discharge,2010-07-24 00:52:14,4,B0045,24,209,00209.csv,0.7993777411831636,,,G,QA_issue,anomaly,valid,10,0.885193608411576,90.31,28.0,18.0
discharge,2010-07-24 05:24:46,4,B0045,26,211,00211.csv,0.7783107440628891,,,G,QA_issue,anomaly,valid,11,0.885193608411576,87.93,28.0,17.0
discharge,2010-07-24 09:56:39,4,B0045,28,213,00213.csv,0.7803738231239117,,,G,QA_issue,anomaly,valid,12,0.885193608411576,88.16,28.0,16.0
discharge,2010-07-27 16:12:05,4,B0045,32,217,00217.csv,0.7713058245640294,,,G,QA_issue,anomaly,valid,13,0.885193608411576,87.13,28.0,15.0
discharge,2010-07-27 21:56:24,4,B0045,36,221,00221.csv,0.795279016979026,,,G,QA_issue,anomaly,valid,14,0.885193608411576,89.84,28.0,14.0
discharge,2010-07-28 02:29:37,4,B0045,38,223,00223.csv,0.7824128169919247,,,G,QA_issue,anomaly,valid,15,0.885193608411576,88.39,28.0,13.0
discharge,2010-07-28 07:01:57,4,B0045,40,225,00225.csv,0.7649414992231182,,,G,QA_issue,anomaly,valid,16,0.885193608411576,86.42,28.0,12.0
discharge,2010-07-28 11:33:01,4,B0045,42,227,00227.csv,0.7544899426779375,,,G,QA_issue,anomaly,valid,17,0.885193608411576,85.23,28.0,11.0
discharge,2010-07-28 16:03:39,4,B0045,44,229,00229.csv,0.7504048978314295,,,G,QA_issue,anomaly,valid,18,0.885193608411576,84.77,28.0,10.0
discharge,2010-07-28 21:45:15,4,B0045,48,233,00233.csv,0.7407258109620256,,,G,QA_issue,anomaly,valid,19,0.885193608411576,83.68,28.0,9.0
discharge,2010-07-29 02:14:29,4,B0045,50,235,00235.csv,0.0,,,G,QA_issue,anomaly,zero,20,0.885193608411576,,28.0,8.0
discharge,2010-07-29 05:57:18,4,B0045,52,237,00237.csv,0.7308525593793626,,,G,QA_issue,anomaly,valid,21,0.885193608411576,82.56,28.0,7.0
discharge,2010-07-29 10:29:29,4,B0045,54,239,00239.csv,0.7287255851177903,,,G,QA_issue,anomaly,valid,22,0.885193608411576,82.32,28.0,6.0
discharge,2010-07-29 14:57:39,4,B0045,56,241,00241.csv,0.7161023377036263,,,G,QA_issue,anomaly,valid,23,0.885193608411576,80.9,28.0,5.0
discharge,2010-07-29 20:36:49,4,B0045,60,245,00245.csv,0.7129204834988017,,,G,QA_issue,anomaly,valid,24,0.885193608411576,80.54,28.0,4.0
discharge,2010-07-30 01:03:48,4,B0045,62,247,00247.csv,0.7141991829499618,,,G,QA_issue,anomaly,valid,25,0.885193608411576,80.68,28.0,3.0
discharge,2010-07-30 05:30:13,4,B0045,64,249,00249.csv,0.7190570819844222,,,G,QA_issue,anomaly,valid,26,0.885193608411576,81.23,28.0,2.0
discharge,2010-07-30 09:56:07,4,B0045,66,251,00251.csv,0.7173975428775917,,,G,QA_issue,anomaly,valid,27,0.885193608411576,81.04,28.0,1.0
discharge,2010-07-30 14:21:03,4,B0045,68,253,00253.csv,0.7071027496463946,,,G,QA_issue,anomaly,valid,28,0.885193608411576,79.88,28.0,0.0
discharge,2010-07-30 19:57:28,4,B0045,72,257,00257.csv,0.703531206505542,,,G,QA_issue,anomaly,valid,29,0.885193608411576,79.48,28.0,0.0
discharge,2010-07-31 00:21:41,4,B0045,74,259,00259.csv,0.6941108278958862,,,G,QA_issue,anomaly,valid,30,0.885193608411576,78.41,28.0,0.0
discharge,2010-07-31 04:45:24,4,B0045,76,261,00261.csv,0.6914114388869608,,,G,QA_issue,anomaly,valid,31,0.885193608411576,78.11,28.0,0.0
discharge,2010-07-31 09:08:38,4,B0045,78,263,00263.csv,0.6971551798505504,,,G,QA_issue,anomaly,valid,32,0.885193608411576,78.76,28.0,0.0
discharge,2010-07-31 13:31:07,4,B0045,80,265,00265.csv,0.6832460217432723,,,G,QA_issue,anomaly,valid,33,0.885193608411576,77.19,28.0,0.0
discharge,2010-08-03 15:52:53,4,B0045,84,269,00269.csv,0.6822029317493292,,,G,QA_issue,anomaly,valid,34,0.885193608411576,77.07,28.0,0.0
discharge,2010-08-03 21:29:43,4,B0045,88,273,00273.csv,0.7289529213213379,,,G,QA_issue,anomaly,valid,35,0.885193608411576,82.35,28.0,0.0
discharge,2010-08-04 01:56:12,4,B0045,90,275,00275.csv,0.7139321758287004,,,G,QA_issue,anomaly,valid,36,0.885193608411576,80.65,28.0,0.0
discharge,2010-08-04 06:20:57,4,B0045,92,277,00277.csv,0.6957731747455482,,,G,QA_issue,anomaly,valid,37,0.885193608411576,78.6,28.0,0.0
discharge,2010-08-04 10:44:49,4,B0045,94,279,00279.csv,0.7018312962317095,,,G,QA_issue,anomaly,valid,38,0.885193608411576,79.29,28.0,0.0
discharge,2010-08-04 15:07:58,4,B0045,96,281,00281.csv,0.6911808244378487,,,G,QA_issue,anomaly,valid,39,0.885193608411576,78.08,28.0,0.0
discharge,2010-08-04 20:41:59,4,B0045,100,285,00285.csv,0.6843279752855028,,,G,QA_issue,anomaly,valid,40,0.885193608411576,77.31,28.0,0.0
discharge,2010-08-05 01:04:03,4,B0045,102,287,00287.csv,0.6741394908812485,,,G,QA_issue,anomaly,valid,41,0.885193608411576,76.16,28.0,0.0
discharge,2010-08-05 05:25:07,4,B0045,104,289,00289.csv,0.6670070174301739,,,G,QA_issue,anomaly,valid,42,0.885193608411576,75.35,28.0,0.0
discharge,2010-08-05 09:45:36,4,B0045,106,291,00291.csv,0.6804085117374855,,,G,QA_issue,anomaly,valid,43,0.885193608411576,76.87,28.0,0.0
discharge,2010-08-05 14:05:44,4,B0045,108,293,00293.csv,0.6617864063235485,,,G,QA_issue,anomaly,valid,44,0.885193608411576,74.76,28.0,0.0
discharge,2010-08-05 19:37:08,4,B0045,112,297,00297.csv,0.6623168733492338,,,G,QA_issue,anomaly,valid,45,0.885193608411576,74.82,28.0,0.0
discharge,2010-08-05 23:56:22,4,B0045,114,299,00299.csv,0.6679358357181778,,,G,QA_issue,anomaly,valid,46,0.885193608411576,75.46,28.0,0.0
discharge,2010-08-06 04:15:03,4,B0045,116,301,00301.csv,0.6488990885270688,,,G,QA_issue,anomaly,valid,47,0.885193608411576,73.31,28.0,0.0
