type,start_time,ambient_temperature,battery_id,test_id,uid,filename,Capacity,Re,Rct,elapsed_hours_from_first,hours_from_prev_operation,group,end_reason,analysis_role,test_temperature_profile,load_profile,eol_rule_source,cutoff_voltage,discharge_current,eol_fade_threshold,cap_flag,cap_exclude,cap_anomaly,discharge_cycle_raw,is_hard_excluded,discharge_cycle_valid,init_cap,SOH_nominal,SOH_relative,eol_soh_threshold,eol_cycle,RUL,rul_label_type
discharge,2010-09-17 15:17:48,4,B0053,0,6672,06672.csv,1.06914178861943,,,0.0,0.0,I,QA_issue,anomaly,4°C_stable,2A_CC,NASA_30%fade,2.7,2A,0.3,valid,False,False,1,False,1.0,1.1305863853936766,53.46,94.57,70.0,1.0,0.0,anomaly_case
discharge,2010-09-17 20:11:19,4,B0053,4,6676,06676.csv,1.1540727934432229,,,4.891944444444444,0.5294444444444445,I,QA_issue,anomaly,4°C_stable,2A_CC,NASA_30%fade,2.7,2A,0.3,valid,False,False,2,False,2.0,1.1305863853936766,57.7,102.08,70.0,1.0,0.0,anomaly_case
discharge,2010-09-17 23:56:44,4,B0053,6,6678,06678.csv,1.1501525413826983,,,8.648888888888889,3.0216666666666665,I,QA_issue,anomaly,4°C_stable,2A_CC,NASA_30%fade,2.7,2A,0.3,valid,False,False,3,False,3.0,1.1305863853936766,57.51,101.73,70.0,1.0,0.0,anomaly_case
discharge,2010-09-18 03:41:26,4,B0053,8,6680,06680.csv,1.1305863853936766,,,12.393888888888888,3.020277777777778,I,QA_issue,anomaly,4°C_stable,2A_CC,NASA_30%fade,2.7,2A,0.3,valid,False,False,4,False,4.0,1.1305863853936766,56.53,100.0,70.0,1.0,0.0,anomaly_case
discharge,2010-09-18 07:25:38,4,B0053,10,6682,06682.csv,1.121790272357562,,,16.130555555555556,3.0211111111111113,I,QA_issue,anomaly,4°C_stable,2A_CC,NASA_30%fade,2.7,2A,0.3,valid,False,False,5,False,5.0,1.1305863853936766,56.09,99.22,70.0,1.0,0.0,anomaly_case
discharge,2010-09-18 11:09:35,4,B0053,12,6684,06684.csv,1.1135982401443856,,,19.863055555555555,3.0208333333333335,I,QA_issue,anomaly,4°C_stable,2A_CC,NASA_30%fade,2.7,2A,0.3,valid,False,False,6,False,6.0,1.1305863853936766,55.68,98.5,70.0,1.0,0.0,anomaly_case
discharge,2010-09-18 16:05:06,4,B0053,16,6688,06688.csv,1.0864654057095062,,,24.788333333333334,0.5297222222222222,I,QA_issue,anomaly,4°C_stable,2A_CC,NASA_30%fade,2.7,2A,0.3,valid,False,False,7,False,7.0,1.1305863853936766,54.32,96.1,70.0,1.0,0.0,anomaly_case
discharge,2010-09-18 19:49:23,4,B0053,18,6690,06690.csv,1.0647493568993147,,,28.52638888888889,3.0205555555555557,I,QA_issue,anomaly,4°C_stable,2A_CC,NASA_30%fade,2.7,2A,0.3,valid,False,False,8,False,8.0,1.1305863853936766,53.24,94.18,70.0,1.0,0.0,anomaly_case
discharge,2010-09-18 23:33:26,4,B0053,20,6692,06692.csv,1.0809288094959644,,,32.260555555555555,3.0208333333333335,I,QA_issue,anomaly,4°C_stable,2A_CC,NASA_30%fade,2.7,2A,0.3,valid,False,False,9,False,9.0,1.1305863853936766,54.05,95.61,70.0,1.0,0.0,anomaly_case
discharge,2010-09-19 03:17:11,4,B0053,22,6694,06694.csv,1.0852752041846463,,,35.98972222222222,3.0216666666666665,I,QA_issue,anomaly,4°C_stable,2A_CC,NASA_30%fade,2.7,2A,0.3,valid,False,False,10,False,10.0,1.1305863853936766,54.26,95.99,70.0,1.0,0.0,anomaly_case
discharge,2010-09-19 07:00:37,4,B0053,24,6696,06696.csv,1.0504799933740894,,,39.71361111111111,3.0216666666666665,I,QA_issue,anomaly,4°C_stable,2A_CC,NASA_30%fade,2.7,2A,0.3,valid,False,False,11,False,11.0,1.1305863853936766,52.52,92.91,70.0,1.0,0.0,anomaly_case
discharge,2010-09-19 11:55:48,4,B0053,28,6700,06700.csv,1.0853550177054303,,,44.63333333333333,0.53,I,QA_issue,anomaly,4°C_stable,2A_CC,NASA_30%fade,2.7,2A,0.3,valid,False,False,12,False,12.0,1.1305863853936766,54.27,96.0,70.0,1.0,0.0,anomaly_case
discharge,2010-09-19 15:38:44,4,B0053,30,6702,06702.csv,1.0508395690790722,,,48.34888888888889,3.0219444444444443,I,QA_issue,anomaly,4°C_stable,2A_CC,NASA_30%fade,2.7,2A,0.3,valid,False,False,13,False,13.0,1.1305863853936766,52.54,92.95,70.0,1.0,0.0,anomaly_case
