battery_id,start_time,discharge_cycle_valid,SOH_nominal,Rct_last,impedance_available
B0005,2008-04-02 15:25:41,1.0,92.82,,0
B0005,2008-04-02 19:43:48,2.0,92.32,,0
B0005,2008-04-03 00:01:06,3.0,91.77,,0
B0005,2008-04-03 04:16:37,4.0,91.76,,0
B0005,2008-04-03 08:33:25,5.0,91.73,,0
B0005,2008-04-03 12:55:10,6.0,91.78,,0
B0005,2008-04-03 17:17:16,7.0,91.76,,0
B0005,2008-04-03 21:28:14,8.0,91.29,,0
B0005,2008-04-04 01:38:15,9.0,91.24,,0
B0005,2008-04-04 05:48:08,10.0,91.23,,0
B0005,2008-04-04 09:57:19,11.0,91.23,,0
B0005,2008-04-04 17:56:27,12.0,90.71,,0
B0005,2008-04-04 22:01:54,13.0,90.69,,0
B0005,2008-04-05 02:20:26,14.0,90.67,,0
B0005,2008-04-05 06:25:01,15.0,90.13,,0
B0005,2008-04-05 10:30:32,16.0,90.11,,0
B0005,2008-04-05 14:34:41,17.0,90.13,,0
B0005,2008-04-05 18:39:25,18.0,90.15,,0
B0005,2008-04-05 22:46:35,19.0,90.14,,0
B0005,2008-04-18 21:10:19,20.0,92.35,0.0694562730453699,1
B0005,2008-04-19 02:29:09,21.0,92.37,0.0679720560130687,1
B0005,2008-04-19 07:47:15,22.0,91.81,0.0685283289600032,1
B0005,2008-04-19 13:01:42,23.0,91.29,0.0680444951699617,1
B0005,2008-04-19 18:27:29,24.0,91.26,0.0684502122707276,1
B0005,2008-04-19 23:41:55,25.0,91.28,0.0683410113732366,1
B0005,2008-04-20 04:54:41,26.0,90.7,0.0686823765587221,1
B0005,2008-04-20 10:16:28,27.0,90.74,0.0681437253042456,1
B0005,2008-04-20 15:37:05,28.0,90.7,0.0678255571971684,1
B0005,2008-04-20 20:50:38,29.0,90.14,0.0688580524121343,1
B0005,2008-04-21 02:15:02,30.0,90.2,0.0677943469911627,1
B0005,2008-04-22 15:33:49,31.0,92.59,0.0694040818553967,1
B0005,2008-04-22 20:26:18,32.0,91.54,0.0699377430233672,1
B0005,2008-04-23 01:18:11,33.0,91.0,0.0695041754421432,1
B0005,2008-04-23 06:18:19,34.0,90.47,0.069661211991841,1
B0005,2008-04-23 11:08:00,35.0,90.23,0.0711294674960708,1
B0005,2008-04-23 16:06:25,36.0,89.97,0.0716707961231252,1
B0005,2008-04-23 21:02:58,37.0,89.42,0.0697669618355563,1
B0005,2008-04-24 01:51:33,38.0,89.15,0.0719248993978976,1
B0005,2008-04-24 06:50:00,39.0,88.65,0.0719378705603448,1
B0005,2008-04-24 11:49:24,40.0,88.65,0.0703395836124857,1
B0005,2008-04-24 16:45:56,41.0,88.39,0.0697381270154479,1
B0005,2008-04-24 21:38:11,42.0,88.12,0.0701251142477667,1
B0005,2008-04-25 12:03:44,43.0,88.38,0.0697134641311117,1
B0005,2008-04-25 20:03:55,44.0,88.13,0.0697134641311117,1
B0005,2008-04-26 01:04:35,45.0,87.59,0.073180098911682,1
B0005,2008-04-26 05:57:35,46.0,87.09,0.0716524732655295,1
B0005,2008-04-26 10:58:25,47.0,86.8,0.0724998374901,1
B0005,2008-04-29 12:15:56,48.0,89.68,0.0724998374901,1
B0005,2008-04-29 17:05:27,49.0,89.16,0.0701407541984291,1
B0005,2008-04-29 22:00:04,50.0,88.37,0.0711299384497784,1
B0005,2008-04-30 02:43:55,51.0,87.85,0.0719830276512561,1
B0005,2008-04-30 07:41:42,52.0,87.34,0.0714637439793728,1
B0005,2008-04-30 12:28:49,53.0,87.09,0.0708870426164587,1
B0005,2008-04-30 17:20:16,54.0,86.82,0.0717816850521735,1
B0005,2008-04-30 22:14:54,55.0,86.32,0.0718319241428618,1
B0005,2008-05-01 03:15:33,56.0,85.79,0.0713902715439566,1
B0005,2008-05-01 08:16:03,57.0,85.53,0.0724518691988788,1
B0005,2008-05-01 13:14:24,58.0,85.3,0.073040250995097,1
B0005,2008-05-01 18:11:10,59.0,85.02,0.07251082944035,1
B0005,2008-05-01 23:10:15,60.0,84.73,0.0720176209117095,1
B0005,2008-05-02 03:53:34,61.0,84.25,0.0731699361800272,1
B0005,2008-05-02 08:44:40,62.0,83.72,0.0727712073374357,1
B0005,2008-05-02 13:43:05,63.0,83.73,0.0727086679457494,1
B0005,2008-05-02 19:07:48,64.0,83.19,0.0730104108966134,1
B0005,2008-05-02 23:24:17,65.0,82.95,0.0730104108966134,1
B0005,2008-05-03 04:13:08,66.0,82.69,0.073436503616202,1
B0005,2008-05-03 09:10:19,67.0,82.13,0.0732133898164959,1
B0005,2008-05-03 14:04:34,68.0,81.89,0.074596186052064,1
B0005,2008-05-03 18:58:13,69.0,81.64,0.0745830977634214,1
B0005,2008-05-03 23:42:30,70.0,81.39,0.0736638387977965,1
B0005,2008-05-04 04:41:40,71.0,81.11,0.0737188582159762,1
B0005,2008-05-04 09:40:11,72.0,80.57,0.0746561776087558,1
B0005,2008-05-04 14:38:13,73.0,80.33,0.0735542582193973,1
B0005,2008-05-04 19:37:07,74.0,80.08,0.0746229428074614,1
B0005,2008-05-05 00:35:53,75.0,79.52,0.0736039114233682,1
B0005,2008-05-05 05:28:13,76.0,79.29,0.074642062777058,1
B0005,2008-05-05 11:41:31,77.0,79.25,0.0754771092928152,1
B0005,2008-05-05 20:40:08,78.0,79.78,0.0754771092928152,1
B0005,2008-05-06 01:38:46,79.0,78.74,0.0793440364411719,1
B0005,2008-05-06 06:37:06,80.0,78.25,0.0800235935822896,1
B0005,2008-05-06 11:25:21,81.0,77.99,0.0804500816192199,1
B0005,2008-05-06 16:23:36,82.0,77.97,0.0809952791439065,1
B0005,2008-05-06 21:21:49,83.0,77.73,0.0790061137619081,1
B0005,2008-05-07 02:17:25,84.0,77.44,0.0818149196701257,1
B0005,2008-05-07 07:04:02,85.0,76.91,0.0808669662369406,1
B0005,2008-05-07 12:01:49,86.0,76.4,0.0825010076441602,1
B0005,2008-05-07 16:59:29,87.0,76.43,0.0817505708315127,1
B0005,2008-05-07 21:56:09,88.0,76.13,0.0826941645735358,1
B0005,2008-05-08 02:53:49,89.0,75.87,0.082272625759776,1
B0005,2008-05-09 12:25:07,90.0,80.29,0.0829157329641766,1
B0005,2008-05-09 20:28:09,91.0,78.19,0.0761509211548619,1
B0005,2008-05-10 01:21:56,92.0,77.4,0.0809967398338894,1
B0005,2008-05-10 06:18:12,93.0,76.62,0.080792347724638,1
B0005,2008-05-10 11:16:04,94.0,76.35,0.0816166339541188,1
B0005,2008-05-10 16:11:56,95.0,75.85,0.0820304274361046,1
B0005,2008-05-10 21:07:54,96.0,75.59,0.0843093490529676,1
B0005,2008-05-11 02:05:21,97.0,75.33,0.081280778737871,1
B0005,2008-05-11 06:55:27,98.0,75.08,0.0827621596207595,1
B0005,2008-05-11 11:52:47,99.0,74.54,0.0838933915955351,1
B0005,2008-05-11 16:49:58,100.0,74.29,0.0823356083860003,1
