uid,battery_id,group,discharge_cycle_raw,Capacity,SOH_nominal,SOH_relative,eol_cycle,RUL,analysis_role,end_reason,ambient_temperature,start_time,mean_voltage,mean_current,mean_temp,Rct,init_cap,init_soh
5122,B0005,A,1,1.8564874208181572,92.82,101.15,125.0,124.0,main,EOL,24,2008-04-02 15:25:41,3.5298286688693397,-1.8187019641679725,32.572328114029,0.0694562730453699,1.835349194223408,92.82
5124,B0005,A,2,1.846327249719927,92.32,100.6,125.0,123.0,main,EOL,24,2008-04-02 19:43:48,3.5373201277859705,-1.8175598506612867,32.72523522519307,0.0694562730453699,1.835349194223408,92.82
5126,B0005,A,3,1.835349194223408,91.77,100.0,125.0,122.0,main,EOL,24,2008-04-03 00:01:06,3.5437367282719,-1.8164865418840956,32.64286193755933,0.0694562730453699,1.835349194223408,92.82
5128,B0005,A,4,1.8352625275821128,91.76,100.0,125.0,121.0,main,EOL,24,2008-04-03 04:16:37,3.5436661072601456,-1.8255891938692528,32.514876462048825,0.0694562730453699,1.835349194223408,92.82
5130,B0005,A,5,1.8346455082120416,91.73,99.96,125.0,120.0,main,EOL,24,2008-04-03 08:33:25,3.5423432526672167,-1.8261139590277584,32.38234901543077,0.0694562730453699,1.835349194223408,92.82
5132,B0005,A,6,1.8356616600675493,91.78,100.02,125.0,119.0,main,EOL,24,2008-04-03 12:55:10,3.5413347346347575,-1.8168108743168805,32.43418218230641,0.0694562730453699,1.835349194223408,92.82
5134,B0005,A,7,1.8351461429226603,91.76,99.99,125.0,118.0,main,EOL,24,2008-04-03 17:17:16,3.5410250495075206,-1.816791144707133,32.48041644475799,0.0694562730453699,1.835349194223408,92.82
5136,B0005,A,8,1.8257567905665535,91.29,99.48,125.0,117.0,main,EOL,24,2008-04-03 21:28:14,3.554133296801585,-1.8443412120754061,32.41046186109587,0.0694562730453699,1.835349194223408,92.82
5138,B0005,A,9,1.8247738529891333,91.24,99.42,125.0,116.0,main,EOL,24,2008-04-04 01:38:15,3.5529355991467946,-1.853972745505648,32.34614083129999,0.0694562730453699,1.835349194223408,92.82
5140,B0005,A,10,1.824613268496936,91.23,99.42,125.0,115.0,main,EOL,24,2008-04-04 05:48:08,3.5512057319376997,-1.8535899338510957,32.27679750791685,0.0694562730453699,1.835349194223408,92.82
5142,B0005,A,11,1.8246195526864504,91.23,99.42,125.0,114.0,main,EOL,24,2008-04-04 09:57:19,3.54929231974095,-1.863380178294828,32.15709350345253,0.0694562730453699,1.835349194223408,92.82
5145,B0005,A,12,1.814201935767392,90.71,98.85,125.0,113.0,main,EOL,24,2008-04-04 17:56:27,3.559759220648976,-1.872968810287894,32.36407129853099,0.0694562730453699,1.835349194223408,92.82
5147,B0005,A,13,1.8137521577549052,90.69,98.82,125.0,112.0,main,EOL,24,2008-04-04 22:01:54,3.558081969139198,-1.8826095043160835,32.3181954403762,0.0694562730453699,1.835349194223408,92.82
5149,B0005,A,14,1.8134404914735824,90.67,98.81,125.0,111.0,main,EOL,24,2008-04-05 02:20:26,3.555692244172496,-1.882536787636365,32.15709029211502,0.0694562730453699,1.835349194223408,92.82
5151,B0005,A,15,1.8025980036306504,90.13,98.22,125.0,110.0,main,EOL,24,2008-04-05 06:25:01,3.5627468180175024,-1.8817935155260215,32.04407000314609,0.0694562730453699,1.835349194223408,92.82
5153,B0005,A,16,1.80210690024615,90.11,98.19,125.0,109.0,main,EOL,24,2008-04-05 10:30:32,3.5614521756489204,-1.8921861285036712,31.93159367491153,0.0694562730453699,1.835349194223408,92.82
5155,B0005,A,17,1.802579500826209,90.13,98.21,125.0,108.0,main,EOL,24,2008-04-05 14:34:41,3.5603420474985814,-1.9027629207037409,31.94165535902929,0.0694562730453699,1.835349194223408,92.82
5157,B0005,A,18,1.8030683142834096,90.15,98.24,125.0,107.0,main,EOL,24,2008-04-05 18:39:25,3.5591189041401865,-1.9133470605822436,31.96500864547673,0.0694562730453699,1.835349194223408,92.82
5159,B0005,A,19,1.802777624719604,90.14,98.23,125.0,106.0,main,EOL,24,2008-04-05 22:46:35,3.557886771846508,-1.9131602105481538,31.966241678512723,0.0694562730453699,1.835349194223408,92.82
5162,B0005,A,20,1.8470259949329195,92.35,100.64,125.0,105.0,main,EOL,24,2008-04-18 21:10:19,3.5520375235511916,-1.8553455745575975,32.37143341978575,0.0694562730453699,1.835349194223408,92.82
5166,B0005,A,21,1.847417311283644,92.37,100.66,125.0,104.0,main,EOL,24,2008-04-19 02:29:09,3.5525668436897124,-1.8746995273150973,32.70024990461686,0.0679720560130687,1.835349194223408,92.82
5170,B0005,A,22,1.8361774213478947,91.81,100.05,125.0,103.0,main,EOL,24,2008-04-19 07:47:15,3.556794038327039,-1.8738272127883846,32.32266411829938,0.0685283289600032,1.835349194223408,92.82
5174,B0005,A,23,1.825780747577624,91.29,99.48,125.0,102.0,main,EOL,24,2008-04-19 13:01:42,3.5614100044534203,-1.883193546754683,31.98795810666763,0.0680444951699617,1.835349194223408,92.82
5178,B0005,A,24,1.8251136435078368,91.26,99.44,125.0,101.0,main,EOL,24,2008-04-19 18:27:29,3.5566107947817995,-1.873239184822504,31.89445652469139,0.0684502122707276,1.835349194223408,92.82
5182,B0005,A,25,1.825581504220376,91.28,99.47,125.0,100.0,main,EOL,24,2008-04-19 23:41:55,3.5586742170266272,-1.9139593751505897,31.78039681801023,0.0683410113732366,1.835349194223408,92.82
5186,B0005,A,26,1.814031127508391,90.7,98.84,125.0,99.0,main,EOL,24,2008-04-20 04:54:41,3.564103182686904,-1.9030532722310995,31.688747146342205,0.0686823765587221,1.835349194223408,92.82
5190,B0005,A,27,1.8147691941158937,90.74,98.88,125.0,98.0,main,EOL,24,2008-04-20 10:16:28,3.5595880635942723,-1.9134590742247917,31.596747992569153,0.0681437253042456,1.835349194223408,92.82
5194,B0005,A,28,1.813969388710352,90.7,98.84,125.0,97.0,main,EOL,24,2008-04-20 15:37:05,3.556833231052199,-1.9136209099025532,31.565586498787074,0.0678255571971684,1.835349194223408,92.82
5198,B0005,A,29,1.802765665167823,90.14,98.22,125.0,96.0,main,EOL,24,2008-04-20 20:50:38,3.5624410850948953,-1.9025819745719057,31.591246670452076,0.0688580524121343,1.835349194223408,92.82
